year,module,student,programme,science,grade,mark,perc,first
2014,SPS9D6,2017620/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2014,SPS9D6,2012191/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2014,SPS9D6,2014994/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2012,SPS9D8,1825216/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2012,SPS9D8,1210599/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D8,1815063/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D8,1810323/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D8,1814367/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D8,1812003/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2013,SPS9D8,1811065/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2014,SPS9D8,1916368/1,Bachelor of Science with Honours in Sport and Exercise Science,1,1C,16,80,1
2014,SPS9D8,1916487/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2A,15,75,1
2014,SPS9D8,1913554/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2A,15,75,1
2014,SPS9D8,1917692/1,Bachelor of Arts with Honours in Business Studies and Sports Studies,0,2A,15,75,1
2013,SPS915,2012204/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2013,SPS9C5,1921188/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2011,SPS9D8,1611304/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2013,SPS9D8,1711680/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2013,SPS9D8,1815701/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2014,SPS9D8,1916836/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2014,SPS9D8,1913648/1,Bachelor of Arts with Honours in Psychology and Sports Studies,0,2A,15,75,1
2011,SPS9D6,1712727/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2011,SPS9D6,1725545/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2014,SPS9D6,2122171/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2011,SPS9D8,1613479/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2012,SPS9D8,1717535/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2012,SPS9D8,1711668/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2012,SPS9D8,1817961/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2012,SPS9D8,1813965/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2012,SPS9D8,1714176/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2013,SPS9D8,1812985/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2013,SPS9D8,1914232/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2013,SPS9D8,1814396/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2014,SPS9D8,1923213/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2014,SPS9D8,1811463/1,Bachelor of Arts with Honours in Sports Studies,0,2A,15,75,1
2014,SPS9D4,2116058/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D4,2114353/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D4,2116393/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D4,2113699/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D4,2113367/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2014,SPS9D4,2119071/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2013,SPS9D4,2019450/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2013,SPS9D4,2014171/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2013,SPS9D4,2013588/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2012,SPS915,1815274/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2012,SPS915,1913716/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2012,SPS915,1811155/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2013,SPS915,2014994/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2010,SPS9C5,1622670/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2012,SPS9C5,1913716/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2011,SPS9D6,1715065/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2012,SPS9D6,1815063/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2012,SPS9D6,1811737/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2012,SPS9D6,1818202/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2012,SPS9D6,1811065/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2013,SPS9D6,1810308/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
2013,SPS9D6,1913590/1,Bachelor of Science with Honours in Sport and Exercise Science,1,2A,15,75,1
